Designator,Package,Quantity,Designation,Supplier,Ref
"L6,L12",T50_V_THT,2,3.1u,,
"C6,C31",C_1206_3216Metric,2,100p,Mouser,791-1206N101J102CT
"C7,C19,C32",C_1206_3216Metric,3,180p,Mouser,81-GRM31A5C3A181JW1D
"C8,C33",C_1206_3216Metric,2,270p,Mouser,81-GRM31A5C2H271GW1D
"C9,C10,C34,C35",C_1206_3216Metric,4,560p,Mouser,603-CC126JRNPOBBN561
"C11,C23,C36",C_1206_3216Metric,3,1200p,Mouser,810-C3216C0G2J122J
"C12,C25",C_1206_3216Metric,2,39p,Mouser,603-CC126JRNPOBBN390
"C13,C26",C_1206_3216Metric,2,56p,Mouser,603-CC126JKNPOCBN560
"C14,C27",C_1206_3216Metric,2,100p,Mouser,791-1206N101J102CT
"C15,C28",C_1206_3216Metric,2,150p,Mouser,603-CC126JRNPOBBN151
"C16,C29",C_1206_3216Metric,2,220p,Mouser,603-CC206JRNPOBBN221
"C17,C30",C_1206_3216Metric,2,470p,Mouser,603-CC206JRNPOBBN471
C20,C_1206_3216Metric,1,330p,Mouser,603-CC126JRNPOBBN331
C21,C_1206_3216Metric,1,470p,Mouser,603-CC206JRNPOBBN471
C22,C_1206_3216Metric,1,1000p,Mouser,791-SH31N102K631CT
C24,C_1206_3216Metric,1,2200p,Mouser,810-C3216C0G2J222J
C66,C_0805_2012Metric,1,220p,Mouser,603-CC805JRNPOBBN221
C67,CP_Radial_D10.0mm_P5.00mm,1,330u/ 63V,Mouser,667-ECA-1JM331B 
"C69,C77",C_0805_2012Metric,2,1500p,Mouser,81-GCM21A5C2E152JX1D
C72,C_0805_2012Metric,1,1000p,Mouser,80-C0805C102J2GECAUT
C74,C_0805_2012Metric,1,680p,Mouser,80-C0805X681J5G7800
"D1,D2",D_SOD-123,2,1N5711,Farnell,1858640
D3,D_SOD-123,1,1N4148,Farnell,1776392
D4,D_SOD-123,1,PDZ5.1BGWJ,Mouser,771-PDZ5.1BGWJ
J5,PhonoRcaRCJ-04x,1,RCJ-041,,
L13,L_0805_2012Metric,1,47n,Farnell,1748810
"L15,L16",L_1812_4532Metric,2,1.8u,Farnell,2345144
Q1,TO-220-3_Vertical,1,MRF101AN,Farnell,2985308
Q2,SOT-23,1,2N7002,Farnell,9845313
"R1,R15",R_0805_2012Metric,2,100,Mouser,71-CRCW0805100RFKEAC
"R2,R13",R_0805_2012Metric,2,0,,
"R3,R12",R_0805_2012Metric,2,DNI,,
"R5,R10,R31",R_0805_2012Metric,3,100k,Mouser,71-CRCW0805100KFKEAC
"R18,R19,R22,R23",R_2512_6332Metric,4,300,Mouser,279-3521300RFT
"R20,R21",R_2512_6332Metric,2,75,Mouser,279-CRGH2512J75R
R24,R_2512_6332Metric,1,27,Mouser,279-CRGP2512F27R
R26,R_2512_6332Metric,1,51,Mouser,279-352151RFT
R32,R_0805_2012Metric,1,47k,Mouser,71-CRCW080547K0JNEAC
U1,MSOP-8_3x3mm_P0.65mm,1,MCP6282E/MS,Farnell,1852089
U3,SSOP-20_5.3x7.2mm_P0.65mm,1,MCP23008,Farnell,1605564
"C61,C84,C85",C_0805_2012Metric,3,1u,Mouser,603-CC0805KFX7R9BB10
"R33,R16",R_0805_2012Metric,2,10k,Mouser,71-CRCW080510K0JNEAC
U5,TO-220-3_Vertical,1,LM35-NEB,Mouser,926-LM35DT/NOPB
J9,PinSocket_1x03_P2.54mm_Vertical,1,HL2_12V,,
D6,D_SOD-123,1,1N4148W,Farnell,1776392
R17,R_0805_2012Metric,1,1k,Mouser,71-CRCW08051K00FKEAC
"R37,R38,R36",R_0805_2012Metric,3,TBD,PureSignal attenuator,
